"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
91, 1.000000000000001e-03, 7.273802812588374e-01, 5.264199918017361e-04, 1.368080197828607e-07, 3.861991552083090e-05, 1.095943605233078e+02, 0.000000000000000e+00, 0.000000000000000e+00
92, 1.000000000000000e-03, 6.936669914419182e-01, 5.263772604027796e-04, 1.483128717926634e-07, 5.026585313223894e-05, 1.095934044258526e+02, 0.000000000000000e+00, 0.000000000000000e+00
93, 1.000000000000000e-03, 6.578084530582297e-01, 5.263417690101655e-04, 1.557385330802240e-07, 6.345518338043959e-05, 1.095930313856693e+02, 0.000000000000000e+00, 0.000000000000000e+00
94, 1.000000000000000e-03, 6.201015279667785e-01, 5.263209099107503e-04, 1.469119218381701e-07, 7.733407680201606e-05, 1.095936115627646e+02, 0.000000000000000e+00, 0.000000000000000e+00
95, 1.000000000000000e-03, 5.809244133449358e-01, 5.263200909362038e-04, 1.294349488279794e-07, 9.059287135392215e-05, 1.095956258362498e+02, 0.000000000000000e+00, 0.000000000000000e+00
96, 1.000000000000000e-03, 5.407245648559436e-01, 5.263333695306743e-04, 8.775397987327503e-08, 1.015399465541926e-04, 1.095993283563050e+02, 0.000000000000000e+00, 0.000000000000000e+00
97, 1.000000000000000e-03, 5.000000000000018e-01, 5.263739287067428e-04, 4.763812073642149e-08, 1.083708813080018e-04, 1.096048150728723e+02, 0.000000000000000e+00, 0.000000000000000e+00
98, 1.000000000000000e-03, 4.592754351440596e-01, 5.264241644274690e-04, -2.541427095767308e-08, 1.095605806149199e-04, 1.096116538786786e+02, 0.000000000000000e+00, 0.000000000000000e+00
99, 1.000000000000000e-03, 4.190755866550678e-01, 5.265023846134194e-04, -8.233751416848657e-08, 1.043351531463730e-04, 1.096191618724654e+02, 0.000000000000000e+00, 0.000000000000000e+00
100, 1.000000000000000e-03, 3.798984720332247e-01, 5.265814022956243e-04, -1.605324280070134e-07, 9.298985578683064e-05, 1.096262986703118e+02, 0.000000000000000e+00, 0.000000000000000e+00
101, 1.000000000000000e-03, 3.421915469417735e-01, 5.266856491616088e-04, -1.899495359205998e-07, 7.696931646519258e-05, 1.096322008697090e+02, 0.000000000000000e+00, 0.000000000000000e+00
102, 1.000000000000000e-03, 3.063330085580847e-01, 5.267619980997651e-04, -2.362296044312331e-07, 5.853647486430795e-05, 1.096362403467749e+02, 0.000000000000000e+00, 0.000000000000000e+00
103, 1.000000000000000e-03, 2.726197187411654e-01, 5.268710911491637e-04, -2.125594944893775e-07, 4.020239775130151e-05, 1.096383699101713e+02, 0.000000000000000e+00, 0.000000000000000e+00
104, 1.000000000000000e-03, 2.412621712925822e-01, 5.269513912310670e-04, -2.201254006542735e-07, 2.404854224897136e-05, 1.096389148437321e+02, 0.000000000000000e+00, 0.000000000000000e+00
105, 1.000000000000000e-03, 2.123859758548375e-01, 5.270758258264426e-04, -1.471026029302538e-07, 1.134480703242894e-05, 1.096384459774303e+02, 0.000000000000000e+00, 0.000000000000000e+00
106, 1.000000000000000e-03, 1.860386295107161e-01, 5.271604548954036e-04, -1.379067333979705e-07, 2.432877621191330e-06, 1.096375245865934e+02, 0.000000000000000e+00, 0.000000000000000e+00
107, 1.000000000000000e-03, 1.621999754866981e-01, 5.272691721331247e-04, -6.126033677009186e-08, -3.041921532684795e-06, 1.096365319761882e+02, 0.000000000000000e+00, 0.000000000000000e+00
108, 1.000000000000000e-03, 1.407946942538675e-01, 5.273506950569833e-04, -6.605800382052338e-08, -5.807006621395228e-06, 1.096356890900181e+02, 0.000000000000000e+00, 0.000000000000000e+00
109, 1.000000000000000e-03, 1.217053600434902e-01, 5.274583482096912e-04, 4.048499533851475e-09, -6.689558205234882e-06, 1.096350649514413e+02, 0.000000000000000e+00, 0.000000000000000e+00
